iter	Passed	Remaining
464	751	864
465	752	862
466	753	860
467	755	858
468	756	856
469	757	854
470	758	852
471	760	850
472	761	848
473	762	845
474	763	843
475	765	842
476	766	840
477	767	838
478	768	836
479	769	834
480	770	831
481	772	829
482	773	828
483	774	826
484	776	824
485	777	822
486	779	820
487	780	819
488	782	817
489	783	815
490	784	813
491	785	811
492	786	809
493	787	807
494	789	805
495	790	803
496	791	801
497	792	799
498	794	798
499	796	796
500	797	794
501	798	792
502	799	790
503	801	788
504	802	786
505	803	784
506	804	782
507	806	780
508	807	778
509	808	777
510	810	775
511	811	773
512	813	771
513	814	770
514	815	768
515	816	766
516	817	764
517	819	762
518	820	760
519	821	758
520	822	756
521	824	755
522	826	753
523	827	751
524	828	749
525	829	747
526	831	746
527	832	744
528	833	742
529	835	740
530	836	739
531	838	737
532	839	735
533	841	734
534	842	732
535	843	730
536	844	728
537	846	726
538	847	724
539	848	722
540	849	720
541	850	718
542	851	717
543	853	715
544	855	714
545	856	712
546	857	710
547	858	708
548	860	706
549	861	705
550	863	703
551	864	701
552	865	699
553	866	697
554	868	696
555	869	694
556	871	692
557	872	690
558	873	689
559	874	687
560	875	685
561	876	683
562	878	681
563	879	679
564	880	677
565	881	676
566	882	674
567	884	672
568	885	671
569	887	669
570	888	667
571	889	665
572	891	664
573	893	662
574	894	661
575	895	659
576	896	657
577	898	656
578	900	654
579	901	652
580	902	651
581	904	649
582	905	647
583	906	645
584	907	643
585	908	642
586	909	640
587	911	638
588	912	636
589	913	635
590	915	633
591	916	631
592	917	629
593	918	628
594	919	626
595	921	624
596	922	622
597	923	621
598	925	619
599	926	617
600	927	615
601	929	614
602	930	612
603	932	611
604	933	609
605	934	607
606	935	605
607	936	604
608	938	602
609	939	600
610	940	598
611	941	596
612	942	595
613	944	593
614	945	592
615	947	590
616	948	588
617	949	586
618	950	585
619	952	583
620	953	581
621	954	580
622	955	578
623	956	576
624	958	575
625	959	573
626	961	571
627	962	570
628	963	568
629	964	566
630	966	564
631	967	563
632	968	561
633	969	559
634	970	557
635	971	556
636	973	554
637	974	552
638	975	551
639	977	549
640	978	547
641	979	546
642	980	544
643	982	542
644	983	541
645	984	539
646	985	537
647	986	536
648	988	534
649	990	533
650	991	531
651	993	530
652	994	528
653	995	526
654	996	524
655	997	523
656	998	521
657	999	519
658	1000	517
659	1001	516
660	1003	514
661	1005	513
662	1006	511
663	1007	510
664	1009	508
665	1010	506
666	1011	505
667	1013	503
668	1014	501
669	1015	500
670	1017	498
671	1018	497
672	1019	495
673	1021	493
674	1022	492
675	1023	490
676	1024	489
677	1026	487
678	1027	485
679	1028	483
680	1029	482
681	1030	480
682	1031	478
683	1033	477
684	1034	475
685	1036	474
686	1037	472
687	1038	470
688	1039	469
689	1041	467
690	1042	466
691	1043	464
692	1045	463
693	1046	461
694	1047	459
695	1049	458
696	1050	456
697	1052	455
698	1053	453
699	1054	451
700	1055	450
701	1056	448
702	1058	446
703	1059	445
704	1060	443
705	1061	441
706	1062	440
707	1064	438
708	1065	437
709	1066	435
710	1067	434
711	1069	432
712	1070	431
713	1072	429
714	1073	427
715	1074	426
716	1075	424
717	1076	422
718	1078	421
719	1079	419
720	1081	418
721	1082	416
722	1083	415
723	1085	413
724	1086	412
725	1087	410
726	1088	408
727	1089	407
728	1091	405
729	1092	404
730	1094	402
731	1095	401
732	1096	399
733	1098	397
734	1099	396
735	1101	394
736	1102	393
737	1103	391
738	1105	390
739	1106	388
740	1107	387
741	1109	385
742	1110	384
743	1112	382
744	1113	381
745	1114	379
746	1116	378
747	1117	376
748	1118	374
749	1119	373
750	1120	371
751	1121	369
752	1123	368
753	1124	366
754	1126	365
755	1127	363
756	1128	362
757	1129	360
758	1130	359
759	1131	357
760	1133	355
761	1134	354
762	1135	352
763	1137	351
764	1139	349
765	1140	348
766	1141	346
767	1143	345
768	1144	343
769	1145	342
770	1146	340
771	1148	339
772	1149	337
773	1150	335
774	1151	334
775	1152	332
776	1154	331
777	1155	329
778	1156	328
779	1157	326
780	1158	324
781	1160	323
782	1161	321
783	1163	320
784	1164	318
785	1165	317
786	1166	315
787	1168	314
788	1169	312
789	1171	311
790	1172	309
791	1173	308
792	1175	306
793	1176	305
794	1177	303
795	1178	302
796	1179	300
797	1180	298
798	1181	297
799	1183	295
800	1185	294
801	1186	292
802	1187	291
803	1188	289
804	1190	288
805	1191	286
806	1192	285
807	1193	283
808	1194	282
809	1196	280
810	1197	279
811	1198	277
812	1200	276
813	1201	274
814	1202	273
815	1204	271
816	1205	270
817	1206	268
818	1207	266
819	1208	265
820	1210	263
821	1211	262
822	1212	260
823	1214	259
824	1215	257
825	1216	256
826	1218	254
827	1219	253
828	1221	251
829	1222	250
830	1223	248
831	1225	247
832	1226	245
833	1227	244
834	1229	242
835	1230	241
836	1232	239
837	1233	238
838	1234	236
839	1236	235
840	1237	233
841	1238	232
842	1239	230
843	1240	229
844	1242	227
845	1243	226
846	1245	224
847	1246	223
848	1247	221
849	1248	220
850	1250	218
851	1252	217
852	1253	215
853	1254	214
854	1255	212
855	1256	211
856	1258	209
857	1259	208
858	1261	207
859	1262	205
860	1263	203
861	1264	202
862	1265	200
863	1266	199
864	1268	197
865	1269	196
866	1270	194
867	1271	193
868	1273	191
869	1275	190
870	1276	189
871	1277	187
872	1278	185
873	1279	184
874	1281	183
875	1282	181
876	1283	180
877	1285	178
878	1286	177
879	1287	175
880	1289	174
881	1290	172
882	1291	171
883	1293	169
884	1294	168
885	1295	166
886	1297	165
887	1298	163
888	1299	162
889	1300	160
890	1302	159
891	1303	157
892	1304	156
893	1306	154
894	1307	153
895	1308	151
896	1309	150
897	1311	148
898	1312	147
899	1313	145
900	1314	144
901	1316	143
902	1318	141
903	1319	140
904	1320	138
905	1322	137
906	1323	135
907	1324	134
908	1325	132
909	1326	131
910	1328	129
911	1329	128
912	1330	126
913	1331	125
914	1333	123
