iter	RMSE
295	5.131541475
296	5.129499427
297	5.127737194
298	5.125577758
299	5.121771525
300	5.119951708
301	5.118514959
302	5.116205069
303	5.113932443
304	5.112630542
305	5.111266966
306	5.109909493
307	5.108312969
308	5.105743161
309	5.103831108
310	5.10137626
311	5.099624041
312	5.09847307
313	5.097317569
314	5.095758818
315	5.094273674
316	5.092837273
317	5.090006401
318	5.088865271
319	5.086672243
320	5.085291682
321	5.082563308
322	5.081378756
323	5.0796901
324	5.07838061
325	5.075559348
326	5.074488561
327	5.072950892
328	5.07011037
329	5.067746369
330	5.065755638
331	5.064559616
332	5.062897238
333	5.060223387
334	5.059258255
335	5.058502284
336	5.057235868
337	5.055717993
338	5.053371126
339	5.051602309
340	5.050032744
341	5.048667305
342	5.046497737
343	5.044632691
344	5.042061963
345	5.040157829
346	5.037408367
347	5.035680657
348	5.034541486
349	5.032596304
350	5.030284121
351	5.027390205
352	5.026541049
353	5.025062726
354	5.023747446
355	5.022252316
356	5.021149735
357	5.020320716
358	5.018787045
359	5.016670767
360	5.014357908
361	5.012608218
362	5.010574388
363	5.008156986
364	5.006825889
365	5.005909958
366	5.001805833
367	5.000077282
368	4.9976708
369	4.996252566
370	4.994046494
371	4.992250937
372	4.990430702
373	4.988709028
374	4.986899128
375	4.985297985
376	4.984534379
377	4.983406042
378	4.982556761
379	4.981079383
380	4.979017962
381	4.976690809
382	4.975369084
383	4.974466949
384	4.973268602
385	4.970891935
386	4.969968445
387	4.96985424
388	4.969482785
389	4.967475673
390	4.964918178
391	4.963190734
392	4.96126227
393	4.959866144
394	4.957303026
395	4.955568881
396	4.952970921
397	4.951560885
398	4.950310998
399	4.949102095
400	4.948295095
401	4.945759327
402	4.945086705
403	4.944320415
404	4.94126486
405	4.93917427
406	4.93770015
407	4.934959831
408	4.932073353
409	4.930644752
410	4.92826601
411	4.926376521
412	4.923958243
413	4.922786619
414	4.920028751
415	4.919099843
416	4.917763409
417	4.916909365
418	4.91549216
419	4.91393868
420	4.912949915
421	4.910891025
422	4.908367519
423	4.907109389
424	4.90553887
425	4.90530112
426	4.9039152
427	4.902731992
428	4.901151385
429	4.899471149
430	4.898153959
431	4.895128785
432	4.894130706
433	4.892082097
434	4.889179224
435	4.888142928
436	4.887072137
437	4.88562575
438	4.884635987
439	4.882085653
440	4.879718057
441	4.877348673
442	4.876028868
443	4.875751004
444	4.873996476
445	4.872777104
446	4.871205382
447	4.868167308
448	4.866280047
449	4.864043296
450	4.862070468
451	4.860823306
452	4.858433938
453	4.857042275
454	4.854806845
455	4.854015241
456	4.853150284
457	4.852028741
458	4.851831781
459	4.850968968
460	4.84923353
461	4.848923332
462	4.848002892
463	4.846931898
464	4.846182361
465	4.845774159
466	4.845586206
467	4.844245596
468	4.842944251
469	4.842043989
470	4.839951388
471	4.839045467
472	4.838399007
473	4.836771908
474	4.835382081
475	4.834102221
476	4.833860042
477	4.832263482
478	4.830565739
479	4.829063817
480	4.826800117
481	4.82639439
482	4.825691041
483	4.824669799
484	4.824609657
485	4.822615129
486	4.820973795
487	4.818565063
488	4.816587395
489	4.81520939
490	4.814283553
491	4.813168478
492	4.812002727
493	4.810982902
494	4.810565268
495	4.808552781
496	4.806555635
497	4.803862996
498	4.801897809
499	4.800853268
500	4.799308351
501	4.799119911
502	4.798067651
503	4.796969049
504	4.796169499
505	4.794790369
506	4.793611781
507	4.79260878
508	4.791181512
509	4.789226252
510	4.78904643
511	4.787077547
512	4.78682907
513	4.785424101
514	4.784274966
515	4.782280514
516	4.780391497
517	4.779368401
518	4.778065056
519	4.777037482
520	4.774503759
521	4.773425675
522	4.772097573
523	4.769933098
524	4.767433215
525	4.76607661
526	4.765076154
527	4.76374056
528	4.761126221
529	4.760199147
530	4.757279232
531	4.754997121
532	4.753862608
533	4.752724859
534	4.751568552
535	4.750620227
536	4.750328328
537	4.7481028
538	4.746334202
539	4.746191849
540	4.745106675
541	4.743809445
542	4.742100677
543	4.740998473
544	4.73943311
545	4.737001124
546	4.734933708
547	4.733515006
548	4.730614465
549	4.728750888
550	4.727253544
551	4.7252696
552	4.724501052
553	4.723439805
554	4.72064238
555	4.719546952
556	4.718836633
557	4.716705166
558	4.714685382
559	4.713757451
560	4.711860614
561	4.709624762
562	4.708541817
563	4.707868076
564	4.706972496
565	4.705934889
566	4.703488422
567	4.701917555
568	4.698462771
569	4.695929652
570	4.69493699
571	4.694293879
572	4.693358529
573	4.692096325
574	4.690740293
575	4.688780752
576	4.687109013
577	4.68621861
578	4.685211406
579	4.683268191
580	4.681167002
581	4.679700116
582	4.677424123
583	4.675357008
584	4.675202864
585	4.674434805
586	4.673452584
587	4.672464868
588	4.670788149
589	4.669849379
590	4.668965938
591	4.667657632
592	4.667216825
593	4.665096569
594	4.664198476
595	4.66291792
596	4.661594841
597	4.659944373
598	4.659122805
599	4.657285799
